"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "time_to_wifi"
"1" 40.3463 -74.6587 345.586 2.25 1 84664.736000061 1 600
"2" 40.3496 -74.6526 262 0.93825 2 49882.1159999371 2 360
"3" 40.3446 -74.6566 252.773 1.25 1 57354.9319999218 2 600
"4" 40.3463 -74.6581 353.39 0.375 3 82690.3299999237 1 0
"5" 40.3462 -74.6582 0.29 0.4375 3 83048.3359999657 1 0
"6" 40.3463 -74.6582 54.18 1.4375 3 911.94000005722 2 0
"7" 40.3441 -74.6585 84.0234 1.25 1 81234.6949999332 1 420
"8" 40.3447 -74.6559 226.406 0.5 1 57295.0720000267 2 600
"9" 40.3464 -74.6582 11.49 1.125 3 81184.25 1 0
"10" 40.3464 -74.6583 3.23 0.875 3 81245.0550000668 1 0
"11" 40.3463 -74.658 2.68 0.8125 3 81606.4230000973 1 0
"12" 40.3466 -74.6583 3.29 0.6875 3 83406.3459999561 1 0
"13" 40.3475 -74.6622 151.523 1 1 58897.1150000095 3 300
"14" 40.3458 -74.6607 165.586 1 1 59077.3250000477 3 120
"15" 40.3456 -74.6543 240.469 0.25 1 84236.9200000763 1 300
"16" 40.3463 -74.6581 4.67 0.875 3 82511.1489999294 1 0
"17" 40.3464 -74.6582 9.94 0.8125 3 84906.7730000019 1 0
"18" 40.3492 -74.6529 180 1.1259 2 49939.9709999561 2 300
"19" 40.3464 -74.6582 335.49 1.5625 3 83886.4869999886 1 0
"20" 40.3463 -74.6582 5.51 0.0625 3 551.926000118256 2 0
"21" 40.3463 -74.6582 5.95 1.3125 3 1085.18799996376 2 0
"22" 40.3436 -74.6598 38.6719 1 1 81112.9479999542 1 540
"23" 40.345 -74.655 224.648 1 1 57235.0729999542 2 600
"24" 40.348 -74.6574 42.5391 1.60078 1 56498.9249999523 3 600
"25" 40.3468 -74.6616 137.812 1 1 58959.0390000343 3 240
"26" 40.3467 -74.6593 323.438 1.5 1 84713.6619999409 1 600
"27" 40.344 -74.6596 243.984 0.5 1 57595.0840001106 2 420
"28" 40.3463 -74.6582 126.76 1.875 3 83291.1340000629 1 0
"29" 40.3464 -74.6583 352.47 1.5 3 84726.2550001144 1 0
"30" 40.3464 -74.6581 46.47 1.5625 3 84969.6210000515 1 0
"31" 40.3501 -74.6587 252.422 1.5 1 57817.0160000324 3 600
"32" 40.347 -74.6611 280.195 1.25 1 84847.4749999046 1 600
"33" 40.3454 -74.6545 223.594 0.75 1 57175.0969998837 2 600
"34" 40.3435 -74.6599 197.227 1 1 57654.2330000401 2 360
"35" 40.3463 -74.6584 341.63 1.875 3 83764.5499999523 1 0
"36" 40.3427 -74.6609 90 1 1 80995.9249999523 1 60
"37" 40.3436 -74.6599 213.047 1 1 85552.6710000038 1 180
"38" 40.3442 -74.6575 217.617 0.75 1 57414.9979999065 2 600
"39" 40.3462 -74.6584 22.09 1.0625 3 79509.7279999256 1 0
"40" 40.3464 -74.6584 356.85 1.5625 3 83646.7339999676 1 0
"41" 40.3464 -74.6581 7.58 1 3 84065.0659999847 1 0
"42" 40.3463 -74.6582 58.07 0.6875 3 971.358999967575 2 0
"43" 40.3463 -74.6582 0.58 0.8125 3 1025.35899996758 2 0
"44" 40.3503 -74.6578 252.773 0.75 1 57758.131000042 3 600
"45" 40.3454 -74.6549 305.156 0.75 1 84293.8110001087 1 240
"46" 40.3464 -74.6581 44.19 0.125 3 84609.7690000534 1 0
"47" 40.3457 -74.658 320.273 0.75 1 84593.635999918 1 600
"48" 40.3463 -74.6612 132.891 0.75 1 85313.4500000477 1 420
"49" 40.3442 -74.6599 147.656 1 1 85493.0950000286 1 240
"50" 40.344 -74.6584 305.508 0.75 1 57475.0009999275 2 540
"51" 40.3463 -74.6581 67.51 2 3 729.802000045776 2 0
"52" 40.344 -74.6594 64.6875 0.75 1 81171.9219999313 1 480
"53" 40.3463 -74.6558 266.484 2 1 84413.9639999866 1 120
"54" 40.3455 -74.6573 188.438 1 1 84532.9509999752 1 0
"55" 40.3464 -74.6582 18.84 1.375 3 83824.9779999256 1 0
"56" 40.3464 -74.6582 1.28 0.9375 3 84429.3469998837 1 0
"57" 40.3463 -74.6611 150.82 1 1 59017.2620000839 3 180
"58" 40.3429 -74.6605 72.4219 1 1 81052.6889998913 1 0
